category,Sonnenschein
2013/01,-999
2013/02,-999
2013/03,-999
2013/04,-999
2013/05,186.7
2013/06,227.9
2013/07,315.8
2013/08,240.7
2013/09,132
2013/10,84.5
2013/11,62.5
2013/12,12.6
2014/01,22.7
2014/02,79.3
2014/03,160.9
2014/04,188.4
2014/05,208.7
2014/06,242.4
2014/07,290.9
2014/08,200.6
2014/09,176.7
2014/10,82.3
2014/11,52.9
2014/12,22.6
2015/01,23.3
2015/02,49.3
2015/03,121.6
2015/04,240.4
2015/05,185.6
2015/06,225.8
2015/07,225.7
2015/08,244
2015/09,166.9
2015/10,101.5
2015/11,39.1
2015/12,27
2016/01,27.8
2016/02,54.1
2016/03,92.8
2016/04,147.2
2016/05,261.2
2016/06,220
2016/07,185.1
2016/08,217.3
2016/09,213.7
2016/10,52
2016/11,54.7
2016/12,24.1
2017/01,46.2
2017/02,34.9
2017/03,129.9
2017/04,175.8
2017/05,255.7
2017/06,222.4
2017/07,193.7
2017/08,196.1
2017/09,130.3
2017/10,78.5
2017/11,37.6
2017/12,24.6
2018/01,31.5
2018/02,93.8
2018/03,88.5
2018/04,179
2018/05,374.1
2018/06,252.1
2018/07,353.9
2018/08,213.1
2018/09,174.5
2018/10,144.7
2018/11,45.5
2018/12,16.3